English,German Singular,German Plural,Differences
2275. Stem,Der Stiel,Die Stiele,e
2276. Comrade,Der Kamerad,Die Kameraden,en
2277. Flock,Die Herde,Die Herden,n
2278. Sob,Das Schluchzen,(usually uncountable),
2279. Pregnancy,Die Schwangerschaft,Die Schwangerschaften,en
2280. Suspect,Der Verdächtige,Die Verdächtigen,n
2281. Coincidence,Der Zufall,Die Zufälle,":, e"
2282. Ranger,Der Ranger,Die Ranger,
2283. Cartoon,Der Cartoon,Die Cartoons,s
2284. Roommate,Der Mitbewohner,Die Mitbewohner,
2285. Kindness,Die Freundlichkeit,Die Freundlichkeiten,en
2286. Cruiser,Das Kreuzfahrtschiff,Die Kreuzfahrtschiffe,e
2287. Slab,Die Platte,Die Platten,n
2288. Conscience,Das Gewissen,Die Gewissen,
2289. Cheer,Der Jubel,Die Jubel,
2290. Cone,Der Kegel,Die Kegel,
2291. Circuit,Der Stromkreis,Die Stromkreise,e
2292. Ivory,Das Elfenbein,(usually uncountable),
2293. Carpenter,Der Zimmermann,Die Zimmerleute,"l, e, u, t, e"
2294. Realm,Das Reich,Die Reiche,e
2295. Bum,Der Penner,Die Penner,
2296. Donna,Die Dame,Die Damen,n
2297. Reservation,Die Reservierung,Die Reservierungen,en
2298. Entertainment,Die Unterhaltung,Die Unterhaltungen,en
2299. Crab,Der Krebs,Die Krebse,e
2300. Groan,Das Stöhnen,Die Stöhne,
2301. Academy,Die Akademie,Die Akademien,n
2302. Longing,Die Sehnsucht,Die Sehnsüchte,":, e"
2303. Kip,Der Kip,Die Kips,s
2304. Drill,Der Bohrer,Die Bohrer,
2305. Luggage,Das Gepäck,(usually uncountable),
2306. Canopy,Das Baldachin,Die Baldachine,e
2307. Thrill,Der Nervenkitzel,Die Nervenkitzel,
2308. Virtue,Die Tugend,Die Tugenden,en
2309. Marsh,Das Sumpf,Die Sümpfe,":, e"
2310. Chimney,Der Schornstein,Die Schornsteine,e
2311. Anchor,Der Anker,Die Anker,
2312. Harmony,Die Harmonie,Die Harmonien,n
2313. Maple,Der Ahorn,Die Ahorne,e
2314. Bunny,Das Häschen,Die Häschen,
2315. Mode,Die Mode,(usually uncountable),
2316. Throne,Der Thron,Die Throne,e
2317. Application,Die Anwendung,Die Anwendungen,en
2318. Physics,Die Physik,(usually uncountable),
2319. Neon,Das Neon,(usually uncountable),
2320. Airlock,Die Luftschleuse,Die Luftschleusen,n
2321. Fatigue,Die Ermüdung,(usually uncountable),
2322. Thanksgiving,Der Dank,(usually uncountable),
2323. Manuscript,Das Manuskript,Die Manuskripte,e
2324. Basis,Die Basis,Die Basen,"e, n, "
2325. Memorial,Das Denkmal,Die Denkmäler,":, er"
2326. Cupboard,Der Schrank,Die Schränke,":, e"
2327. Leap,Der Sprung,Die Sprünge,":, e"
2328. Japanese,Der Japaner,Die Japaner,
2329. Engineering,Das Ingenieurwesen,(usually uncountable),
2330. Left,Die Linke,(usually uncountable),
2331. Ache,Der Schmerz,Die Schmerzen,en
2332. Bronze,Die Bronze,(usually uncountable),
2333. Association,Die Vereinigung,Die Vereinigungen,en
2334. Fleet,Die Flotte,Die Flotten,n
2335. Marker,Der Marker,Die Marker,
2336. Prey,Die Beute,(usually uncountable),
2337. Dove,Die Taube,Die Tauben,n
2338. Grasp,Der Griff,Die Griffe,e
2339. Episode,Die Episode,Die Episoden,n
2340. Origin,Der Ursprung,Die Ursprünge,":, e"
2341. Vacuum,Das Vakuum,Die Vakua,"a, "
2342. Cathedral,Die Kathedrale,Die Kathedralen,n
2343. Management,Das Management,(usually uncountable),
2344. Down,Die Daune,Die Daunen,n
2345. Continent,Der Kontinent,Die Kontinente,e
2346. Dickens,Der Dickens,(usually uncountable),
2347. Volunteer,Der Freiwillige,Die Freiwilligen,n
2348. Soccer,Der Fußball,(usually uncountable),
2349. Hem,Der Saum,Die Säume,":, e"
2350. Mention,Die Erwähnung,Die Erwähnungen,en
2351. Lust,Die Lust,(usually uncountable),
2352. Giggle,Das Kichern,(usually uncountable),
2353. Classmate,Der Klassenkamerad,Die Klassenkameraden,en
2354. Cleaning,Das Reinigen,(usually uncountable),
2355. Receptionist,Der Empfangsmitarbeiter,Die Empfangsmitarbeiter,
2356. Caller,Die Anrufer,(plural noun),"n, o, u, n, ), "
2357. Pursuit,Die Verfolgung,Die Verfolgungen,en
2358. Contempt,Die Verachtung,(usually uncountable),
2359. Sacrifice,Das Opfer,Die Opfer,
2360. Grandparent,Der Großelternteil,Die Großelternteile,e
2361. Threshold,Die Schwelle,Die Schwellen,n
2362. Deed,Die Tat,Die Taten,en
2363. Countryside,Die Landschaft,Die Landschaften,en
2364. Artifact,Das Artefakt,Die Artefakte,e
2365. Wrinkle,Die Falte,Die Falten,n
2366. Magician,Der Magier,Die Magier,
2367. Pang,Die Schmerzen,(plural noun),"n, o, u, n, ), "
2368. Italian,Der Italiener,Die Italiener,
2369. Eternity,Die Ewigkeit,(usually uncountable),
2370. Slate,Die Schiefertafel,Die Schiefertafeln,n
2371. Stairwell,Das Treppenhaus,Die Treppenhäuser,":, er"
2372. Announcement,Die Ankündigung,Die Ankündigungen,en
2373. Motive,Das Motiv,Die Motive,e
2374. Mechanic,Der Mechaniker,Die Mechaniker,
2375. Ally,Der Verbündete,Die Verbündeten,n
2376. Vase,Die Vase,Die Vasen,n
2377. Salesman,Der Verkäufer,Die Verkäufer,
2378. Therapist,Der Therapeut,Die Therapeuten,en
2379. Granny,Die Oma,Die Omas,s
2380. Maverick,Der Einzelgänger,Die Einzelgänger,
2381. Bandage,Der Verband,Die Verbände,":, e"
2382. Ham,Der Schinken,(usually uncountable),
2383. Carter,Der Carter,Die Carter,
2384. Investment,Die Investition,Die Investitionen,en
2385. Appeal,Der Reiz,Die Reize,e
2386. Innocence,Die Unschuld,(usually uncountable),
2387. Calendar,Der Kalender,Die Kalender,
2388. Rooftop,Das Dach,Die Dächer,":, er"
2389. Combat,Der Kampf,Die Kämpfe,":, e"
2390. Revelation,Die Offenbarung,Die Offenbarungen,en
2391. Pancake,Der Pfannkuchen,Die Pfannkuchen,
2392. Asteroid,Der Asteroid,Die Asteroiden,en
2393. Postcard,Die Postkarte,Die Postkarten,n
2394. Garment,Das Kleidungsstück,Die Kleidungsstücke,e
2395. Determination,Die Bestimmung,Die Bestimmungen,en
2396. Tractor,Der Traktor,Die Traktoren,en
2397. Berry,Die Beere,Die Beeren,n
2398. Surroundings,Die Umgebung,Die Umgebungen,en
2399. Clump,Der Klumpen,Die Klumpen,
2400. Offense,Die Straftat,Die Straftaten,en
2401. Introduction,Die Einführung,Die Einführungen,en
2402. Butler,Der Butler,Die Diener,"D, i, e, n, "
2403. Cough,Der Husten,Die Husten,
2404. Granite,Der Granit,(usually uncountable),
2405. Ambassador,Der Botschafter,Die Botschafter,
2406. Turning,Die Abbiegung,Die Abbiegungen,en
2407. Sitting,Das Sitzen,(usually uncountable),
2408. Compliment,Das Kompliment,Die Komplimente,e
2409. Carton,Der Karton,Die Kartons,s
2410. Doorbell,Die Türklingel,Die Türklingeln,n
2411. Certainty,Die Gewissheit,Die Gewissheiten,en
2412. Politician,Der Politiker,Die Politiker,
2413. Gratitude,Die Dankbarkeit,(usually uncountable),
2414. Current,Der Strom,Die Ströme,":, e"
2415. Gloom,Die Dunkelheit,(usually uncountable),
2416. Plaster,Der Gips,(usually uncountable),
2417. Settlement,Die Siedlung,Die Siedlungen,en
2418. Chop,Der Hacken,Die Hacken,
2419. Homicide,Der Totschlag,Die Totschläge,":, e"
2420. Aluminum,Das Aluminium,(usually uncountable),
2421. Boulevard,Die Allee,Die Alleen,n
2422. Pupil,Der Schüler,Die Schüler,
2423. Float,Die Schwimmhilfe,Die Schwimmhilfen,n
2424. Profession,Der Beruf,Die Berufe,e
2425. Retreat,Der Rückzugsort,Die Rückzugsorte,e
2426. Intersection,Die Kreuzung,Die Kreuzungen,en
2427. Scheme,Das Schema,Die Schemata,ta
2428. Emptiness,Die Leere,(usually uncountable),
2429. Publisher,Der Verleger,Die Verleger,
2430. Circus,Der Zirkus,Die Zirkusse,se
2431. Dimension,Die Dimension,Die Dimensionen,en
2432. Zoo,Der Zoo,Die Zoos,s
2433. Sickness,Die Krankheit,Die Krankheiten,en
2434. Messenger,Der Bote,Die Boten,n
2435. Beau,Der Schatz,Die Schätze,":, e"
2436. Tangle,Das Gewirr,Die Gewirre,e
2437. Personnel,Das Personal,(usually uncountable),
2438. Strategy,Die Strategie,Die Strategien,n
2439. Desperation,Die Verzweiflung,(usually uncountable),
2440. Businessman,Der Geschäftsmann,Die Geschäftsleute,"l, e, u, t, e"
2441. Pod,Die Hülse,Die Hülsen,n
2442. Drain,Der Abfluss,Die Abflüsse,":, e"
2443. Strawberry,Die Erdbeere,Die Erdbeeren,n
2444. Anniversary,Das Jubiläum,Die Jubiläen,"e, n, "
2445. Binoculars,Das Fernglas,Die Ferngläser,":, er"
2446. Gulf,Der Golf,Die Golf,
2447. Discipline,Die Disziplin,(usually uncountable),
2448. Hedge,Die Hecke,Die Hecken,n
2449. Moan,Das Stöhnen,(usually uncountable),
2450. Income,Das Einkommen,Die Einkommen,
2451. Myth,Der Mythos,Die Mythen,"e, n, "
2452. Shutter,Der Verschluss,Die Verschlüsse,":, e"
2453. Raft,Das Floß,Die Floße,e
2454. Physician,Der Arzt,Die Ärzte,":, e"
2455. Ambition,Der Ehrgeiz,(usually uncountable),
2456. Camel,Das Kamel,Die Kamele,e
2457. Beating,Das Schlagen,(usually uncountable),
2458. Acid,Die Säure,Die Säuren,n
2459. Cereal,Das Getreide,(usually uncountable),
2460. Basin,Das Becken,Die Becken,
2461. Nightgown,Das Nachthemd,Die Nachthemden,en
2462. Internet,Das Internet,(usually uncountable),
2463. Cockpit,Das Cockpit,Die Cockpits,s
2464. Wreck,Das Wrack,Die Wracks,s
2465. Wig,Die Perücke,Die Perücken,n
2466. Rein,Der Zügel,Die Zügel,
2467. Recorder,Der Rekorder,Die Rekorder,
2468. Pork,Das Schweinefleisch,(usually uncountable),
2469. Hound,Der Hund,Die Hunde,e
2470. Boundary,Die Grenze,Die Grenzen,n
2471. Exam,Die Prüfung,Die Prüfungen,en
2472. Courtesy,Die Höflichkeit,(usually uncountable),
2473. Assistance,Die Hilfe,(usually uncountable),
2474. Cheekbone,Der Wangenknochen,Die Wangenknochen,
2475. Whip,Die Peitsche,Die Peitschen,n
2476. Pilgrim,Der Pilger,Die Pilger,
2477. Grease,Das Fett,(usually uncountable),
2478. Collapse,Der Zusammenbruch,Die Zusammenbrüche,":, e"
2479. Faculty,Die Fakultät,Die Fakultäten,en
2480. Reminder,Die Erinnerung,Die Erinnerungen,en
2481. Sage,Der Weise,Die Weisen,n
2482. Asphalt,Der Asphalt,(usually uncountable),
2483. Privilege,Das Privileg,Die Privilegien,ien
2484. Stairway,Die Treppe,Die Treppen,n
2485. Maintenance,Die Wartung,(usually uncountable),
2486. Sweetie,Der Schatz,Die Schätze,":, e"
2487. Orchard,Der Obstgarten,Die Obstgärten,":, "
2488. Cot,Der Kinderbett,Die Kinderbetten,en
2489. Pouch,Die Tasche,Die Taschen,n
2490. Lighter,Das Feuerzeug,Die Feuerzeuge,e
2491. Kitty,Das Kätzchen,Die Kätzchen,
2492. Formation,Die Formation,Die Formationen,en
2493. Snack,Der Snack,Die Snacks,s
2494. Talking,Das Reden,(usually uncountable),
2495. Op,Der Einsatz,Die Einsätze,":, e"
2496. Shriek,Der Schrei,Die Schreie,e
2497. Sculpture,Die Skulptur,Die Skulpturen,en
2498. Chairman,Der Vorsitzende,Die Vorsitzenden,n
2499. Sum,Die Summe,Die Summen,n
2500. Carrot,Die Möhre,Die Möhren,n
2501. Ripple,Die Welle,Die Wellen,n
2502. Stripe,Der Streifen,Die Streifen,
2503. Cavern,Die Höhle,Die Höhlen,n
2504. Radar,Das Radar,(usually uncountable),
2505. Ponytail,Der Pferdeschwanz,Die Pferdeschwänze,":, e"
2506. Designer,Der Designer,Die Designer,
2507. Surge,Der Schub,Die Schübe,":, e"
2508. Heir,Der Erbe,Die Erben,n
2509. Vault,Das Gewölbe,Die Gewölbe,
2510. Sissy,Die Memme,Die Memmen,n
2511. Scotch,Der Whisky,Die Whiskys,s
2512. Stillness,Die Stille,(usually uncountable),
2513. Tunic,Die Tunika,Die Tuniken,"e, n"
2514. Think,Der Gedanke,Die Gedanken,n
2515. Penis,Der Penis,Die Penisse,se
2516. Native,Der Eingeborene,Die Eingeborenen,n
2517. Lovemaking,Der Liebesakt,Die Liebesakte,e
2518. Aide,Der Helfer,Die Helfer,
2519. Bulk,Die Masse,(usually uncountable),
2520. Poker,Der Poker,Die Pokers,s
2521. Lime,Die Limette,Die Limetten,n
2522. Surveillance,Die Überwachung,(usually uncountable),
2523. Assembly,Die Versammlung,Die Versammlungen,en
2524. Grandson,Der Enkel,Die Enkel,
2525. Chopper,Der Hubschrauber,Die Hubschrauber,
2526. Carrier,Der Träger,Die Träger,
2527. Engagement,Das Engagement,Die Engagements,s
2528. Kin,Die Verwandtschaft,(usually uncountable),
2529. Mum,Die Mutter,Die Mütter,":, "
2530. Lighting,Das Licht,(usually uncountable),
2531. Fit,Die Passform,Die Passformen,en
2532. Pull,Der Zug,Die Züge,":, e"
2533. Verge,Der Rand,Die Ränder,":, er"
2534. Farmhouse,Das Bauernhaus,Die Bauernhäuser,":, er"
2535. Wait,Die Wartezeit,Die Wartezeiten,en
2536. Assassin,Der Attentäter,Die Attentäter,
2537. Foam,Der Schaum,Die Schäume,":, e"
2538. Tug,Der Schlepper,Die Schlepper,
2539. Journalist,Der Journalist,Die Journalisten,en
2540. Recording,Die Aufnahme,Die Aufnahmen,n
2541. Cure,Die Heilung,Die Heilungen,en
2542. Descent,Der Abstieg,Die Abstiege,e
2543. Ringing,Das Klingeln,(usually uncountable),
2544. Scissors,Die Schere,Die Scheren,n
2545. Twig,Der Zweig,Die Zweige,e
2546. Resort,Das Resort,Die Resorts,s
2547. Guardian,Der Wächter,Die Wächter,
2548. Opponent,Der Gegner,Die Gegner,
2549. Chef,Der Chef,Die Chefs,s
2550. Wheat,Der Weizen,(usually uncountable),
2551. Hurricane,Der Hurrikan,Die Hurrikane,e
2552. Playground,Der Spielplatz,Die Spielplätze,":, e"
2553. Mushroom,Der Pilz,Die Pilze,e
2554. Keyboard,Die Tastatur,Die Tastaturen,en
2555. Cedar,Die Zeder,Die Zedern,n
2556. Crest,Die Crest,Die Crests,s
2557. Jasmine,Die Jasmin,Die Jasmin,
2558. Armchair,Der Sessel,Die Sessel,
2559. Attraction,Die Attraktion,Die Attraktionen,en
2560. Blind,Die Jalousie,Die Jalousien,n
2561. Cylinder,Der Zylinder,Die Zylinder,
2562. Swallow,Die Schwalbe,Die Schwalben,n
2563. Celebrity,Der Prominente,Die Prominenten,n
2564. Wilderness,Die Wildnis,(usually uncountable),
2565. Triangle,Das Dreieck,Die Dreiecke,e
2566. Stench,Der Gestank,(usually uncountable),
2567. Laboratory,Das Labor,Die Labore,e
2568. Array,Das Array,Die Arrays,s
2569. Valentine,Der Valentine,Die Valentines,s
2570. Retirement,Der Ruhestand,(usually uncountable),
2571. Ski,Der Ski,Die Skis,s
2572. Edition,Die Ausgabe,Die Ausgaben,n
2573. Supervisor,Der Vorgesetzte,Die Vorgesetzten,n
2574. Expanse,Die Weite,Die Weiten,n
2575. Ending,Das Ende,Die Enden,n
2576. Moss,Der Moos,(usually uncountable),
2577. Gale,Der Sturm,Die Stürme,":, e"
2578. Loyalty,Die Treue,(usually uncountable),
2579. Lavender,Der Lavendel,(usually uncountable),
2580. Pardon,Die Verzeihung,(usually uncountable),
2581. Ashtray,Der Aschenbecher,Die Aschenbecher,
2582. Shard,Der Scherben,Die Scherben,
2583. Corporation,Das Unternehmen,Die Unternehmen,
2584. Distraction,Die Ablenkung,Die Ablenkungen,en
2585. Majesty,Die Majestät,(usually uncountable),
2586. Pyramid,Die Pyramide,Die Pyramiden,n
2587. Fame,Der Ruhm,(usually uncountable),
2588. Graduation,Der Abschluss,Die Abschlüsse,":, e"
2589. Distress,Die Not,(usually uncountable),
2590. Mage,Der Magier,Die Magier,
2591. Independence,Die Unabhängigkeit,(usually uncountable),
2592. Crush,Der Schwarm,Die Schwärme,":, e"
2593. Chuckle,Das Kichern,Die Kicher,
2594. Dime,Der Zehncent,Die Zehncents,s
2595. Aim,Das Ziel,Die Ziele,e
2596. Gust,Die Böe,Die Böen,n
2597. Russian,Der Russe,Die Russen,n
2598. Treat,Die Behandlung,Die Behandlungen,en
2599. Foreigner,Der Ausländer,Die Ausländer,
2600. Salary,Das Gehalt,Die Gehälter,":, er"
2601. Scope,Der Umfang,Die Umfänge,":, e"
2602. Rebel,Der Rebell,Die Rebellen,en
2603. Thug,Der Schläger,Die Schläger,
2604. Tomb,Die Grab,Die Gräber,":, er"
2605. Fridge,Der Kühlschrank,Die Kühlschränke,":, e"
2606. Socket,Die Steckdose,Die Steckdosen,n
2607. Dose,Die Dose,Die Dosen,n
2608. Election,Die Wahl,Die Wahlen,en
2609. Refugee,Der Flüchtling,Die Flüchtlinge,e
2610. Phase,Die Phase,Die Phasen,n
2611. Pumpkin,Der Kürbis,Die Kürbisse,se
2612. Thorn,Der Dorn,Die Dornen,en
2613. Hide,Das Versteck,Die Verstecke,e
2614. Sausage,Die Wurst,Die Würste,":, e"
2615. Dig,Der Lupfer,Die Lupfen,"n, "
2616. Tan,Die Bräune,Die Bräunen,n
2617. Loan,Das Darlehen,Die Darlehen,
2618. Spike,Der Stachel,Die Stacheln,n
2619. Crumb,Die Krume,Die Krumen,n
2620. Wax,Das Wachs,(usually uncountable),
2621. Growl,Das Knurren,Die Knurren,
2622. Rental,Die Vermietung,Die Vermietungen,en
2623. Feed,Das Futter,(usually uncountable),
2624. Escort,Der Begleiter,Die Begleiter,
2625. Astonishment,Das Erstaunen,(usually uncountable),
2626. Flora,Die Flora,(usually uncountable),
2627. Festival,Das Festival,Die Festivals,s
2628. Debate,Die Debatte,Die Debatten,n
2629. Critic,Der Kritiker,Die Kritiker,
2630. Cast,Der Guss,Die Güsse,":, e"
2631. Bloom,Die Blüte,Die Blüten,n
2632. Loft,Der Dachboden,Die Dachböden,":, "
2633. Commission,Die Kommission,Die Kommissionen,en
2634. Flicker,Das Flackern,Die Flackern,
2635. Economy,Die Wirtschaft,Die Wirtschaften,en
2636. Radiation,Die Strahlung,Die Strahlungen,en
2637. Bodyguard,Der Leibwächter,Die Leibwächter,
2638. Realization,Die Erkenntnis,Die Erkenntnisse,se
2639. Crater,Der Krater,Die Krater,
2640. Voyage,Die Reise,Die Reisen,n
2641. Congress,Der Kongress,Die Kongresse,e
2642. Vote,Die Stimme,Die Stimmen,n
2643. Proposal,Der Vorschlag,Die Vorschläge,":, e"
2644. Fry,Das Braten,Die Braten,
2645. Shiver,Das Zittern,Die Zittern,
2646. Obligation,Die Verpflichtung,Die Verpflichtungen,en
2647. Loser,Der Verlierer,Die Verlierer,
2648. Instructor,Der Lehrer,Die Lehrer,
2649. Wink,Das Zwinkern,Die Zwinkern,
2650. Pebble,Der Kieselstein,Die Kieselsteine,e
2651. Necessity,Die Notwendigkeit,Die Notwendigkeiten,en
2652. Workshop,Das Seminar,Die Seminare,e
2653. Sunrise,Der Sonnenaufgang,Die Sonnenaufgänge,":, e"
2654. Exhaustion,Die Erschöpfung,(usually uncountable),
2655. Cubicle,Die Zelle,Die Zellen,n
2656. Double,Das Doppel,Die Dopple,"l, e, "
2657. Perimeter,Der Umfang,Die Umfänge,":, e"
2658. Comb,Der Kamm,Die Kämme,":, e"
2659. Finish,Das Finish,Die Finish,
2660. Purchase,Der Kauf,Die Käufe,":, e"
2661. Interval,Das Intervall,Die Intervalle,e
2662. Splash,Das Spritzen,Die Spritzen,
2663. Convention,Die Konvention,Die Konventionen,en
2664. Awareness,Das Bewusstsein,(usually uncountable),
2665. Pose,Die Pose,Die Posen,n
2666. Cradle,Die Wiege,Die Wiegen,n
2667. Ram,Der Ram,Die Rams,s
2668. Gentry,Das Adel,(usually uncountable),
2669. Seam,Die Naht,Die Nähte,":, e"
2670. Associate,Der Mitarbeiter,Die Mitarbeiter,
2671. Pane,Die Scheibe,Die Scheiben,n
2672. Punk,Der Punk,Die Punks,s
2673. Remnant,Der Überrest,Die Überreste,e
2674. Cracker,Der Knäckebrot,Die Knäckebrote,e
2675. Bluff,Der Bluff,Die Bluffs,s
2676. Dune,Die Düne,Die Dünen,n
2677. Dentist,Der Zahnarzt,Die Zahnärzte,":, e"
2678. Refuge,Das Refugium,Die Refugien,"e, n, "
2679. Satin,Der Satin,(usually uncountable),
2680. Spread,Die Verbreitung,Die Verbreitungen,en
2681. Entity,Das Wesen,Die Wesen,
2682. Mailbox,Der Briefkasten,Die Briefkästen,":, "
2683. Annoyance,Der Ärger,Die Ärgernisse,nisse
2684. Hiss,Das Fauchen,Die Fauchen,
2685. Local,Der Einheimische,Die Einheimischen,n
2686. Thud,Das Dumpfe Geräusch,Die Dumpfen Geräusche,e
2687. Dismay,Das Entsetzen,(usually uncountable),
2688. Flour,Das Mehl,(usually uncountable),
2689. Freak,Der Freak,Die Freaks,s
2690. Haircut,Der Haarschnitt,Die Haarschnitte,e
2691. Sweet,Die Süße,(usually uncountable),
2692. Orphan,Das Waisenkind,Die Waisenkinder,er
2693. Chess,Das Schach,(usually uncountable),
2694. Petal,Das Blütenblatt,Die Blütenblätter,":, er"
2695. Paperwork,Die Papierarbeit,(usually uncountable),
2696. Psychiatrist,Der Psychiater,Die Psychiater,
2697. Singing,Das Singen,(usually uncountable),
2698. Interrupt,Die Unterbrechung,Die Unterbrechungen,en
2699. Examination,Die Prüfung,Die Prüfungen,en
2700. Admiration,Die Bewunderung,(usually uncountable),
2701. Freezer,Die Gefriertruhe,Die Gefriertruhen,n
2702. Illustration,Die Illustration,Die Illustrationen,en
2703. Stew,Der Eintopf,Die Eintöpfe,":, e"
2704. Investigator,Der Ermittler,Die Ermittler,
2705. Suburb,Der Vorort,Die Vororte,e
2706. Biscuit,Der Keks,Die Kekse,e
2707. Holster,Der Holster,Die Holster,
2708. Factor,Der Faktor,Die Faktoren,en
2709. Intimacy,Die Intimität,(usually uncountable),
2710. Lash,Die Peitsche,Die Peitschen,n
2711. Saving,Die Ersparnisse,(usually uncountable),
2712. Software,Die Software,(usually uncountable),
2713. Hen,Das Huhn,Die Hühner,":, er"
2714. Birch,Die Birke,Die Birken,n
2715. Inquiry,Die Anfrage,Die Anfragen,n
2716. Nursery,Die Kinderzimmer,Die Kinderzimmer,
2717. Transport,Der Transport,Die Transporte,e
2718. Extent,Der Umfang,Die Umfänge,":, e"
2719. Definition,Die Definition,Die Definitionen,en
2720. Monument,Das Denkmal,Die Denkmäler,":, er"
2721. Plum,Die Pflaume,Die Pflaumen,n
2722. Void,Das Leere,(usually uncountable),
2723. Delay,Die Verzögerung,Die Verzögerungen,en
2724. Inspection,Die Inspektion,Die Inspektionen,en
2725. Essence,Die Essenz,Die Essenzen,en
2726. Cannon,Die Kanone,Die Kanonen,n
2727. Fringe,Der Rand,Die Ränder,":, er"
2728. Stereo,Das Stereo,Die Stereos,s
2729. Fella,Der Kerl,Die Kerle,e
2730. Praise,Das Lob,(usually uncountable),
2731. Penguin,Der Pinguin,Die Pinguine,e
2732. Torture,Die Folter,Die Folterungen,ungen
2733. Stamp,Die Briefmarke,Die Briefmarken,n
2734. Particle,Das Teilchen,Die Teilchen,
2735. Translator,Der Übersetzer,Die Übersetzer,
2736. Easter,Das Ostern,(usually uncountable),
2737. Freeze,Das Einfrieren,Die Einfrierungen,"u, gen"
2738. Pew,Die Bank,Die Bänke,":, e"
2739. Wad,Die Rolle,Die Rollen,n
2740. Panties,Der Slip,Die Slips,s
2741. Consideration,Die Überlegung,Die Überlegungen,en
2742. Spit,Das Spucken,Die Spucken,
2743. Cooler,Der Kühler,Die Kühler,
2744. Grill,Der Grill,Die Grills,s
2745. Jug,Der Krug,Die Krüge,":, e"
2746. Nickname,Der Spitzname,Die Spitznamen,n
2747. Revolver,Der Revolver,Die Revolver,
2748. Machinery,Die Maschinen,(usually uncountable),
2749. Madam,Die Dame,Die Damen,n
2750. Pike,Der Hecht,Die Hechte,e
2751. Terrorist,Der Terrorist,Die Terroristen,en
2752. Laptop,Der Laptop,Die Laptops,s
2753. Offering,Das Angebot,Die Angebote,e
2754. Beak,Der Schnabel,Die Schnäbel,":, "
2755. Institution,Die Institution,Die Institutionen,en
2756. Comparison,Der Vergleich,Die Vergleiche,e
2757. Maker,Der Hersteller,Die Hersteller,
2758. Insight,Der Einblick,Die Einblicke,e
2759. Sibling,Das Geschwister,Die Geschwister,
2760. Wardrobe,Der Kleiderschrank,Die Kleiderschränke,":, e"
2761. Flap,Die Klappe,Die Klappen,n
2762. Sole,Die Sohle,Die Sohlen,n
2763. Compassion,Das Mitgefühl,(usually uncountable),
2764. Ego,Das Ego,Die Egos,s
2765. Antenna,Die Antenne,Die Antennen,n
2766. Cricket,Die Grille,Die Grillen,n
2767. Troll,Der Troll,Die Trolle,e
2768. Bookstore,Die Buchhandlung,Die Buchhandlungen,en
2769. Coming,Das Kommen,(usually uncountable),
2770. Objection,Der Einwand,Die Einwände,":, e"
2771. Holder,Der Halter,Die Halter,
2772. Backseat,Die Rücksitzbank,Die Rücksitzbänke,":, e"
2773. Ignorance,Die Unwissenheit,(usually uncountable),
2774. Budget,Der Haushalt,Die Haushalte,e
2775. Aircraft,Das Flugzeug,Die Flugzeuge,e
2776. Corps,Das Corps,Die Cores,"e, "
2777. Loaf,Das Laib,Die Laibe,e
2778. Extension,Die Erweiterung,Die Erweiterungen,en
2779. Freeway,Der Autobahn,Die Autobahnen,en
2780. Solitude,Die Einsamkeit,(usually uncountable),
2781. Chemical,Die Chemikalie,Die Chemikalien,n
2782. Villager,Der Dorfbewohner,Die Dorfbewohner,
2783. Perfection,Die Perfektion,(usually uncountable),
2784. Pope,Der Papst,Die Päpste,":, e"
2785. Semester,Das Semester,Die Semester,
2786. Liver,Die Leber,Die Lebern,n
2787. Saucer,Die Untertasse,Die Untertassen,n
2788. Urgency,Die Dringlichkeit,Die Dringlichkeiten,en
2789. Volcano,Der Vulkan,Die Vulkane,e
2790. Spice,Das Gewürz,Die Gewürze,e
2791. Hostage,Die Geisel,Die Geiseln,n
2792. Choir,Der Chor,Die Chöre,":, e"
2793. Dough,Der Teig,Die Teige,e
2794. Commotion,Die Aufregung,Die Aufregungen,en
2795. Courthouse,Das Gerichtsgebäude,Die Gerichtsgebäude,
2796. Salmon,Der Lachs,Die Lachse,e
2797. Boxer,Der Boxer,Die Boxer,
2798. Errand,Der Botengang,Die Botengänge,":, e"
2799. Mechanism,Der Mechanismus,Die Mechanismen,"e, n, "
2800. Telescope,Das Teleskop,Die Teleskope,e
2801. Ferry,Die Fähre,Die Fähren,n
2803. PasserBy,Der Passant,Die Passanten,en
2804. Irritation,Die Irritation,Die Irritationen,en
